Month,Flight distance,Contrail warming,Warming per flight distance ,Region
Jan,17.15,0.2,11.5,Sanya FIR
Jan,2.52,-0.0,-0.07,Pyongyang FIR
Jan,26.05,0.08,2.97,Lanzhou FIR
Jan,13.75,0.24,17.52,Ulaanbaatar FIR
Jan,58.91,0.03,0.56,Kunming FIR
Jan,139.84,0.03,0.19,Shanghai FIR
Jan,9.24,0.32,34.94,Urumqi FIR
Jan,19.68,0.04,2.25,Shenyang FIR
Feb,813.7,25.56,31.42,European Airspace
Feb,181.52,7.3,40.22,North Atlantic
Feb,542.47,16.1,29.68,Continental Europe
Feb,4374.46,72.71,16.62,Global
Feb,1101.17,15.38,13.97,USA
Feb,696.23,2.41,3.47,East Asia
Feb,316.25,1.65,5.21,Southeast Asia
Feb,184.17,1.51,8.18,Latin America
Feb,322.31,2.49,7.72,Africa & Middle East
Feb,747.58,3.58,4.79,China
Feb,200.91,0.28,1.38,India
Feb,1901.09,55.22,29.05,North Pacific
Feb,28.29,0.6,21.35,Arctic
Feb,0.39,0.0,1.59,Honiara FIR
Feb,0.13,-0.0,-5.42,Nauru FIR
Feb,2.0,0.08,38.08,Port Moresby FIR
Feb,8.96,0.26,28.49,Nuuk FIR
Feb,10.78,0.36,33.69,Reykjavik FIR
Feb,28.34,0.32,11.12,Edmonton FIR
Feb,10.69,0.26,24.36,Moncton FIR
Feb,59.22,1.0,16.91,Gander FIR
Feb,22.03,0.31,13.89,Montreal FIR
Feb,10.19,0.08,8.2,Vancouver FIR
Feb,17.98,0.5,27.64,Winnipeg FIR
Feb,17.32,0.32,18.23,Toronto FIR
Feb,12.22,0.06,4.94,Alger FIR
Feb,2.91,0.04,13.92,Accra FIR
Feb,3.62,0.06,15.64,Kano FIR
Feb,3.97,0.08,19.39,Niamey FIR
Feb,2.34,0.01,3.86,Tunis FIR
Feb,13.16,0.5,37.61,Brussels FIR
Feb,37.44,0.85,22.63,Langen FIR
Feb,22.7,0.66,28.9,Munchen FIR
Feb,22.5,1.0,44.43,Bremen FIR
Feb,3.81,0.29,75.43,Tallinn FIR
Feb,5.22,0.21,40.01,Helsinki FIR
Feb,39.83,2.63,66.07,Shanwick FIR
Feb,8.53,0.37,42.97,Scottish FIR
Feb,50.97,1.14,22.35,London FIR
Feb,17.55,0.84,47.69,Amsterdam FIR
Feb,11.18,0.76,68.02,Shannon FIR
Feb,8.93,0.34,38.53,Copenhagen FIR
Feb,0.89,0.02,26.72,Bodo Oceanic FIR
Feb,10.66,0.27,25.25,Polaris FIR
Feb,22.96,1.15,50.15,Warszawa FIR
Feb,20.44,0.88,42.97,Sweden FIR
Feb,4.42,0.36,80.7,Riga FIR
Feb,2.98,0.19,64.31,Vilnius FIR
Feb,2.15,0.0,2.2,Cape Town FIR
Feb,5.92,0.01,2.21,Johannesburg FIR
Feb,0.86,0.01,11.26,Johannesburg Oceanic FIR
Feb,1.76,0.02,10.12,Gaborone FIR
Feb,3.44,0.18,50.83,Brazzaville FIR
Feb,1.43,0.04,24.72,Mauritius FIR
Feb,1.02,0.03,32.46,Lusaka FIR
Feb,2.25,0.01,3.62,Antananarivo FIR
Feb,3.52,0.14,38.85,Luanda FIR
Feb,1.69,0.01,8.37,Beira FIR
Feb,2.05,0.02,12.11,Seychelles FIR
Feb,3.03,0.07,22.03,N'Djamena FIR
Feb,1.32,0.01,6.87,Harare FIR
Feb,0.49,0.01,16.5,Lilongwe FIR
Feb,1.3,0.0,3.81,Windhoek FIR
Feb,2.34,0.12,50.47,Kinshasa FIR
Feb,12.8,0.04,3.25,Canarias FIR
Feb,0.53,0.01,15.78,Roberts FIR
Feb,20.37,0.07,3.34,Casablanca FIR
Feb,12.7,0.35,27.8,Dakar FIR
Feb,3.94,0.08,20.58,Sal Oceanic FIR
Feb,4.75,0.02,3.44,Addis Abeba FIR
Feb,0.02,0.0,42.42,Bujumbura FIR
Feb,5.08,0.01,2.34,Mogadishu FIR/UIR
Feb,19.78,0.03,1.39,Cairo FIR
Feb,0.56,0.0,4.25,Asmara FIR
Feb,3.89,0.01,3.02,Nairobi FIR
Feb,2.63,0.01,2.15,Tripoli FIR
Feb,0.05,0.0,23.67,Kigali FIR
Feb,6.66,0.05,7.4,Khartoum FIR
Feb,2.65,0.04,14.36,Dar-Es-Salaam FIR
Feb,0.41,0.0,9.45,Entebbe FIR
Feb,63.16,0.56,8.82,Albuquerque FIR
Feb,85.84,1.84,21.39,Oakland Oceanic FIR
Feb,44.07,0.8,18.06,Chicago FIR
Feb,31.64,0.53,16.64,Boston FIR
Feb,72.79,0.86,11.85,Washington FIR
Feb,69.92,1.15,16.5,Denver FIR
Feb,48.45,0.53,10.88,Fort Worth FIR
Feb,51.93,0.73,14.02,Houston FIR
Feb,43.54,0.41,9.51,Indianapolis FIR
Feb,75.69,1.34,17.66,Jacksonville FIR
Feb,55.58,1.38,24.86,Kansas City FIR
Feb,57.0,0.24,4.18,Los Angeles FIR
Feb,49.2,0.85,17.21,Salt Lake City FIR
Feb,62.22,0.15,2.47,Miami FIR/UIR
