Region,Subset,Share below 50% capacity (%),Share below avg capacity (%)
Simferopol FIR,Winter & Night,0.714909447481161,17.301223635440465
Simferopol FIR,Winter (Oct–Mar),4.3049035363789745,44.46849297200149
Skopje FIR,All hours,18.178306846710477,47.58964805341948
Skopje FIR,Night (20h–04h),6.887544924986924,20.53841794397508
Skopje FIR,Winter & Night,1.2619934110572912,10.378291445741516
Skopje FIR,Winter (Oct–Mar),1.8024978744241724,52.27711042979108
Sofia FIR,All hours,40.26062830255999,55.41706556442712
Sofia FIR,Night (20h–04h),0.3865666531820519,15.336620041448686
Sofia FIR,Winter & Night,0.6097355509505261,14.817636856284812
Sofia FIR,Winter (Oct–Mar),32.930440467996746,48.241319350355575
Sweden FIR,All hours,64.70502880598923,71.68586376792256
Sweden FIR,Night (20h–04h),10.065145848076227,25.411116672065425
Sweden FIR,Winter & Night,8.269089461130559,18.187170375194203
Sweden FIR,Winter (Oct–Mar),59.58303111279601,67.51106912686683
Switzerland FIR,All hours,61.83913326682768,73.62496581917955
