Airport,Latitude,Longitude,Flights Total,Flights Big Hit,Flights Warming,Flights Cooling,Flights No Contrail,Contrail Forcing (10^18 J),Fuel Burn (t),CO2 (Mt),CO2 Forcing 20yr (10^18 J),CO2 Forcing 100yr (10^18 J),GWP20,GWP100,Contrail CO2eq 20yr (Mt),Contrail CO2eq 100yr (Mt)
Mannheim-City Airport,49.473057,8.514167,43,0,0,0,42,7.874959578383878e-07,20528.38623016454,6.503392757716127e-05,2.500344293431093e-05,9.206288611796493e-05,0.013228110351085055,0.0035926345158060545,8.602759705551627e-07,2.3364313291214074e-07
Maramureș International Airport,47.660598,23.467252,146,1,0,0,145,0.00031602200963855737,139558.11217201952,0.00044212009936095783,0.00016998088668976124,0.0006258710472258993,0.7808480508190513,0.2120712319838105,0.00034522861781392924,9.376095415628305e-05
Marche Airport,43.616299,13.3623,1652,24,0,194,1050,0.025131157551535256,4507271.618457007,0.0142790364872718,0.005489827960072717,0.020213592488970675,1.9226624674600907,0.5221776474124564,0.027453767525570664,0.007456193680240214
Maribor Airport,46.4799,15.6861,18,0,0,2,13,0.00024296779227738104,27507.165846635562,8.714270140214146e-05,3.350355180478628e-05,0.00012336035810967333,3.045840433608051,0.8272225723094593,0.00026542276342447546,7.208640961187458e-05
Mariehamn Airport,60.1222,19.898199,826,0,0,3,812,0.00019703864907339818,208667.28693468042,0.0006610579650090676,0.0002541554188737099,0.0009358023791165887,0.32561270177736756,0.08843344968726233,0.000215248870018051,5.8459636288993395e-05
Marina Di Campo Airport,42.7603,10.2394,4,0,0,1,3,-3.675488355322255e-06,3697.021565259083,1.1712164318740776e-05,4.502948585312712e-06,1.6579894372699525e-05,-0.3428209494264396,-0.0931070533101353,-4.015175291589181e-06,-1.0904851076020618e-06
Marseille Provence Airport,43.439271922,5.22142410278,39816,519,0,4422,26578,0.4976761212100635,137620173.4708943,0.43598070955579316,0.1676204897652053,0.6171800459974087,1.247007279366725,0.33867584064619005,0.5436711184795441,0.14765613331433067
Melilla Airport,35.2798,-2.95626,3717,0,0,1,3710,0.0005086366592734659,2409706.901573859,0.007633951464185986,0.00293500757080379,0.010806722436432365,0.0727859781419068,0.019768009972631506,0.0005556446244086187,0.00015090802867461346
Memmingen Allgau Airport,47.9888000488,10.2395000458,5089,196,0,1050,2184,0.16893069013632933,21916091.71979316,0.06943017856830473,0.026693659331768156,0.09828627703747272,2.657967908237279,0.7218799205326245,0.18454318649773768,0.050120251787453746
Mende-Brenoux Airfield,44.502102,3.53282,1,0,0,0,1,0.0,349.3866910816008,1.1068570373465113e-06,4.255507517502757e-07,1.5668814290386722e-06,0.0,0.0,0.0,0.0
Menorca Airport,39.862598,4.21865,9922,86,0,793,7689,0.08242112387312044,28943452.126846828,0.09169285633785075,0.03525293929399021,0.12980161748414804,0.9819570430149052,0.266690606000639,0.09003844607510643,0.024453623422670948
Merville-Calonne Airport,50.61840057373047,2.642240047454834,52,0,0,2,48,-9.405164269925705e-05,71970.01658268069,0.00022800101253393242,8.76590191956869e-05,0.000322761242226797,-0.45062892895830575,-0.12238672047844895,-0.00010274385207957521,-2.7904296189793723e-05
