Date,Departure airport,Number of big hits
2019-03-27,Frankfurt am Main Airport,26
2019-03-27,London Heathrow Airport,83
2019-03-28,Charles de Gaulle International Airport,46
2019-03-28,Frankfurt am Main Airport,56
2019-03-28,London Heathrow Airport,111
2019-03-29,Charles de Gaulle International Airport,43
2019-03-29,Frankfurt am Main Airport,69
2019-03-29,London Heathrow Airport,102
2019-03-30,Charles de Gaulle International Airport,52
2019-03-30,Frankfurt am Main Airport,64
2019-03-30,London Heathrow Airport,87
2019-03-31,Charles de Gaulle International Airport,31
2019-03-31,Frankfurt am Main Airport,31
2019-03-31,London Heathrow Airport,69
2019-04-01,Charles de Gaulle International Airport,52
2019-04-01,Frankfurt am Main Airport,43
2019-04-01,London Heathrow Airport,120
2019-04-02,Charles de Gaulle International Airport,68
2019-04-02,Frankfurt am Main Airport,83
2019-04-02,London Heathrow Airport,109
2019-04-03,Charles de Gaulle International Airport,36
2019-04-03,Frankfurt am Main Airport,32
2019-04-03,London Heathrow Airport,52
2019-04-04,Charles de Gaulle International Airport,19
2019-04-04,Frankfurt am Main Airport,27
2019-04-04,London Heathrow Airport,39
2019-04-05,Charles de Gaulle International Airport,61
2019-04-05,Frankfurt am Main Airport,55
2019-04-05,London Heathrow Airport,109
2019-04-06,Charles de Gaulle International Airport,43
2019-04-06,Frankfurt am Main Airport,65
2019-04-06,London Heathrow Airport,93
2019-04-07,Charles de Gaulle International Airport,24
2019-04-07,Frankfurt am Main Airport,35
2019-04-07,London Heathrow Airport,57
2019-04-08,Charles de Gaulle International Airport,34
2019-04-08,Frankfurt am Main Airport,50
2019-04-08,London Heathrow Airport,58
2019-04-09,Charles de Gaulle International Airport,21
2019-04-09,Frankfurt am Main Airport,35
2019-04-09,London Heathrow Airport,52
2019-04-10,Charles de Gaulle International Airport,37
2019-04-10,Frankfurt am Main Airport,42
2019-04-10,London Heathrow Airport,49
2019-04-11,Charles de Gaulle International Airport,24
2019-04-11,Frankfurt am Main Airport,48
2019-04-11,London Heathrow Airport,44
2019-04-12,Charles de Gaulle International Airport,28
2019-04-12,Frankfurt am Main Airport,54
2019-04-12,London Heathrow Airport,51
2019-04-13,Charles de Gaulle International Airport,38
2019-04-13,Frankfurt am Main Airport,28
2019-04-13,London Heathrow Airport,55
2019-04-14,Charles de Gaulle International Airport,13
2019-04-14,Frankfurt am Main Airport,27
2019-04-14,London Heathrow Airport,22
2019-04-15,Charles de Gaulle International Airport,33
2019-04-15,Frankfurt am Main Airport,37
2019-04-15,London Heathrow Airport,87
2019-04-16,Charles de Gaulle International Airport,33
2019-04-16,Frankfurt am Main Airport,25
2019-04-16,London Heathrow Airport,76
2019-04-17,Charles de Gaulle International Airport,46
2019-04-17,Frankfurt am Main Airport,44
2019-04-17,London Heathrow Airport,61
2019-04-18,Charles de Gaulle International Airport,48
2019-04-18,Frankfurt am Main Airport,29
2019-04-18,London Heathrow Airport,57
2019-04-19,Charles de Gaulle International Airport,44
2019-04-19,Frankfurt am Main Airport,32
2019-04-19,London Heathrow Airport,71
2019-04-20,Charles de Gaulle International Airport,35
2019-04-20,Frankfurt am Main Airport,19
2019-04-20,London Heathrow Airport,65
2019-04-21,Charles de Gaulle International Airport,65
2019-04-21,Frankfurt am Main Airport,50
2019-04-21,London Heathrow Airport,84
2019-04-22,Charles de Gaulle International Airport,53
2019-04-22,Frankfurt am Main Airport,42
2019-04-22,London Heathrow Airport,78
2019-04-23,Charles de Gaulle International Airport,45
2019-04-23,Frankfurt am Main Airport,54
2019-04-23,London Heathrow Airport,77
2019-04-24,Charles de Gaulle International Airport,28
2019-04-24,Frankfurt am Main Airport,29
2019-04-24,London Heathrow Airport,48
2019-04-25,Charles de Gaulle International Airport,35
2019-04-25,Frankfurt am Main Airport,52
2019-04-25,London Heathrow Airport,46
2019-04-26,Charles de Gaulle International Airport,34
2019-04-26,Frankfurt am Main Airport,57
2019-04-26,London Heathrow Airport,55
2019-04-27,Charles de Gaulle International Airport,42
2019-04-27,Frankfurt am Main Airport,34
2019-04-27,London Heathrow Airport,38
2019-04-28,Charles de Gaulle International Airport,62
2019-04-28,Frankfurt am Main Airport,63
2019-04-28,London Heathrow Airport,104
2019-04-29,Charles de Gaulle International Airport,26
2019-04-29,Frankfurt am Main Airport,37
2019-04-29,London Heathrow Airport,45
2019-04-30,Charles de Gaulle International Airport,28
2019-04-30,Frankfurt am Main Airport,25
2019-04-30,London Heathrow Airport,51
2019-05-01,Charles de Gaulle International Airport,28
2019-05-01,Frankfurt am Main Airport,44
2019-05-01,London Heathrow Airport,59
2019-05-02,Charles de Gaulle International Airport,31
