,time,file,region_id,area_km2,pt in mask,vol_km3,thickness_m,std_thickness,mean_FL,mean_lat,mean_lon,mean_forcing,max_forcing,std_forcing,min_lat,max_lat,min_lon,max_lon,min_FL,max_FL,area_by_FL
1657695,2024-10-02 12:00:00,20241002T12.nc,130,26757.268,47,24466.84547343751,914.4000000000004,248.86815786677104,370.0,42.546867,10.81324,901178600.0,1301594200.0,215547790.0,42.25,43.0,9.75,11.75,360,380,"{360: 8520.9775390625, 370: 14241.25390625, 380: 3995.035400390625}"
1790439,2024-10-13 15:00:00,20241013T15.nc,401,448.7495,1,136.778851171875,304.8,0.0,280.0,54.5,22.25,810509700.0,810509700.0,0.0,54.5,54.5,22.25,22.25,280,280,{280: 448.74951171875}
1133721,2024-07-28 14:00:00,20240728T14.nc,28,106032.69,158,96956.28945000004,914.4000000000004,248.86815786677104,430.0,29.696394,70.48992,1040523600.0,1685057700.0,329154000.0,28.25,32.25,68.75,71.75,420,440,"{420: 12165.765625, 430: 45526.76171875, 440: 48340.1640625}"
306150,2024-02-28 01:00:00,20240228T01.nc,127,470.43225,1,143.38775009765624,304.8,0.0,320.0,52.5,75.75,685118340.0,685118340.0,0.0,52.5,52.5,75.75,75.75,320,320,{320: 470.4322509765625}
1984264,2024-10-30 14:00:00,20241030T14.nc,28,5030.4893,7,1533.29312578125,304.8,0.0,440.0,21.571218,-45.964203,1042701500.0,2356605700.0,582635900.0,21.25,21.75,-46.25,-45.75,440,440,{440: 5030.4892578125}
1292689,2024-08-30 09:00:00,20240830T09.nc,45,1374.0106,2,837.5968740234365,609.5999999999992,152.39999999999964,435.0,27.25,87.75,886674800.0,1029184450.0,142509600.0,27.25,27.25,87.75,87.75,430,440,"{430: 687.0053100585938, 440: 687.0053100585938}"
9845,2024-01-03,20240103T00.nc,79,1166.4331,2,355.528810546875,304.8,0.0,290.0,41.0,79.87499,508711940.0,510151700.0,1439760.0,41.0,41.0,79.75,80.0,290,290,{290: 1166.43310546875}
2252726,2024-11-23 11:00:00,20241123T11.nc,99,27011.346,45,24699.174510937508,914.4000000000004,248.86815786677104,350.0,39.030323,-21.585762,676452500.0,1307909000.0,169359340.0,38.25,40.0,-22.25,-20.25,340,360,"{340: 5409.16748046875, 350: 11435.6240234375, 360: 10166.556640625}"
2162052,2024-11-15 14:00:00,20241115T14.nc,401,470.43225,1,143.38775009765624,304.8,0.0,310.0,52.5,87.49999,525529630.0,525529630.0,0.0,52.5,52.5,87.5,87.5,310,310,{310: 470.4322509765625}
783501,2024-05-22 11:00:00,20240522T11.nc,25,49751.406,74,60656.91449999998,1219.1999999999996,340.7767597709678,395.0,29.535128,-35.431664,632069700.0,844255100.0,93644456.0,28.75,30.5,-36.25,-34.25,380,410,"{380: 2000.93212890625, 390: 4684.640625, 400: 17466.8046875, 410: 25599.02734375}"
