week,region,+80th-percentile,+95th-percentile,Negative,Non-zero,Positive
5,Sarajevo FIR,0.0223,0.0033,0.0219,0.0925,0.0706
5,Scottish FIR,0.0622,0.0125,0.0496,0.2826,0.2329
5,Shannon FIR,0.0853,0.0317,0.0522,0.2794,0.2272
5,Skopje FIR,0.0039,0.0,0.0274,0.0478,0.0204
5,Sofia FIR,0.0092,0.0002,0.0305,0.0676,0.0371
5,Sweden FIR,0.0662,0.0144,0.0339,0.2251,0.1913
5,Switzerland FIR,0.0783,0.0096,0.11,0.327,0.217
5,Tallinn FIR,0.0904,0.0154,0.0327,0.2739,0.2412
5,Tirana FIR,0.0044,0.0001,0.0202,0.0366,0.0164
5,Vilnius FIR,0.1304,0.0346,0.0464,0.307,0.2606
5,Warszawa FIR,0.1014,0.0238,0.0637,0.3079,0.2443
5,Wien FIR,0.03,0.0052,0.0681,0.2021,0.134
5,Zagreb FIR,0.0206,0.0031,0.0368,0.1118,0.075
6,Global,0.0206,0.0055,0.0182,0.0759,0.0578
6,Europe,0.0716,0.0155,0.0523,0.2635,0.2112
6,European Airspace,0.0439,0.0097,0.0369,0.1682,0.1313
6,Africa Middle East,0.0107,0.0027,0.0106,0.0438,0.0332
6,East Asia,0.0032,0.0004,0.0051,0.0154,0.0103
6,Southeast Asia,0.038,0.0145,0.0275,0.1151,0.0876
6,India,0.0015,0.0004,0.0031,0.0104,0.0073
6,China,0.0111,0.0023,0.0164,0.0595,0.043
6,Latin America,0.0173,0.0049,0.0195,0.0729,0.0534
6,USA,0.0094,0.0013,0.0162,0.058,0.0417
6,North Atlantic,0.0384,0.0066,0.0256,0.13,0.1044
6,North Pacific,0.0227,0.0036,0.0166,0.084,0.0674
6,Amsterdam FIR,0.1775,0.0298,0.0448,0.4357,0.391
6,Athinai FIR,0.0312,0.0069,0.0406,0.1247,0.0841
6,Barcelona FIR,0.0435,0.0125,0.0365,0.1502,0.1137
6,Beograd FIR,0.0352,0.0079,0.0987,0.2509,0.1523
6,Bordeaux FIR,0.0815,0.0162,0.075,0.2948,0.2198
6,Bratislava  FIR,0.0725,0.0085,0.0944,0.4265,0.3322
6,Bremen FIR,0.1571,0.0257,0.0561,0.51,0.4539
6,Brest FIR,0.0911,0.0287,0.0352,0.2382,0.2029
