Hour,Region,FL270-290,FL300-320,FL330-350,FL360-380,FL390-410,FL420-440
01-01 02,Nicosia FIR,0.0,0.123358,0.150181,0.0,0.0,0.0
01-01 02,North Atlantic,0.051231,0.040877,0.03891,0.028887,0.001086,0.0
01-01 02,North Pacific,0.062238,0.086549,0.060172,0.019199,0.002659,0.0
01-01 02,Odessa FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 02,Paris FIR,0.0,0.021949,0.0,0.0,0.0,0.0
01-01 02,Polaris FIR,0.090456,0.176465,0.122605,0.032359,0.008693,0.0
01-01 02,Praha FIR,0.21624,0.344826,0.105809,0.065867,0.0,0.0
01-01 02,Reims FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 02,Reykjavik FIR,0.273523,0.264871,0.194924,0.082725,0.008195,0.0
01-01 02,Riga FIR,0.25899,0.51061,0.303329,0.0,0.0,0.0
01-01 02,Roma FIR,0.0,0.07438,0.170156,0.047753,0.0,0.0
01-01 02,Santa Maria FIR,0.0,0.009948,0.064901,0.075716,0.00549,0.0
01-01 02,Sarajevo FIR,0.041167,0.559125,0.362281,0.048074,0.0,0.0
01-01 02,Scottish FIR,0.033323,0.0,0.0,0.0,0.0,0.0
01-01 02,Shannon FIR,0.249238,0.047972,0.0,0.0,0.0,0.0
01-01 02,Shanwick FIR,0.002287,0.058198,0.103841,0.022776,0.0,0.0
01-01 02,Simferopol FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 02,Skopje FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 02,Sofia FIR,0.018794,0.065668,0.026835,0.0,0.0,0.0
01-01 02,Southeast Asia,0.0,0.0,0.0,0.000298,0.011175,0.048104
01-01 02,Sweden FIR,0.051036,0.194142,0.106331,0.00435,0.0,0.0
01-01 02,Switzerland FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 02,Tallinn FIR,0.0,0.068104,0.001801,0.0,0.0,0.0
01-01 02,Tibilisi FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 02,Tirana FIR,0.0,0.020738,0.010369,0.0,0.0,0.0
01-01 02,USA,0.025817,0.036592,0.030869,0.012139,0.0,0.0
01-01 02,Vilnius FIR,0.515829,0.851225,0.737591,0.05172,0.0,0.0
01-01 02,Warszawa FIR,0.008843,0.307279,0.37331,0.183029,0.098175,0.0
01-01 02,Wien FIR,0.004102,0.05096,0.133614,0.022434,0.0,0.0
01-01 02,Yerevan FIR,0.0,0.013503,0.013503,0.0,0.0,0.0
01-01 02,Zagreb FIR,0.012968,0.251171,0.219535,0.031712,0.0,0.0
01-01 03,Africa & Middle East,0.000675,0.005167,0.009991,0.020404,0.011155,0.010677
01-01 03,Amsterdam FIR,0.250026,0.0,0.0,0.0,0.0,0.0
01-01 03,Ankara FIR,0.02994,0.000529,0.0,0.0,0.0,0.0
01-01 03,Arctic,0.160074,0.106581,0.061913,0.039383,0.014976,0.001783
01-01 03,Athinai FIR,0.006572,0.039381,0.024702,0.0,0.0,0.0
01-01 03,Barcelona FIR,0.01214,0.403641,0.508043,0.025824,0.0,0.0
01-01 03,Beograd FIR,0.029782,0.334957,0.155912,0.0,0.0,0.0
01-01 03,Bodo Oceanic FIR,0.243096,0.202446,0.155617,0.114284,0.003459,0.0
01-01 03,Bordeaux FIR,0.194927,0.562452,0.324909,0.0,0.0,0.0
01-01 03,Bratislava  FIR,0.035936,0.687684,0.914117,0.831194,0.010731,0.0
01-01 03,Bremen FIR,0.338841,0.018298,0.0,0.0,0.0,0.0
01-01 03,Brest FIR,0.154856,0.114069,0.02339,0.0,0.0,0.0
01-01 03,Brindisi FIR,0.046375,0.146526,0.058656,0.00481,0.0,0.0
01-01 03,Brussels FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 03,Bucarest FIR,0.001396,0.04817,0.02243,0.0,0.0,0.0
01-01 03,Budapest FIR,0.035139,0.412603,0.532089,0.262641,0.01278,0.0
01-01 03,Canarias FIR,0.0,0.009726,0.068945,0.175644,0.021078,0.0
01-01 03,China,0.004232,0.012286,0.013827,0.002724,0.000994,0.0
01-01 03,Chisinau FIR,0.0,0.043981,0.0,0.0,0.0,0.0
01-01 03,Continental Europe,0.074095,0.156997,0.121901,0.019564,0.000177,0.0
01-01 03,Copenhagen FIR,0.209464,0.0,0.0,0.0,0.0,0.0
01-01 03,Dnipro FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 03,East Asia,0.000373,0.007108,0.010768,0.000662,0.003736,0.00351
01-01 03,European Airspace,0.048601,0.087727,0.085646,0.048089,0.0107,0.00067
01-01 03,Global,0.020592,0.023763,0.021113,0.02151,0.024031,0.020349
01-01 03,Helsinki FIR,0.0,0.000889,0.003561,0.0,0.0,0.0
01-01 03,India,0.0,0.0,0.0,0.0,5.5e-05,0.005985
01-01 03,Istanbul FIR,0.044768,0.050161,0.005054,0.0,0.0,0.0
01-01 03,Kiev FIR,0.021986,0.0,0.0,0.0,0.010929,0.0
01-01 03,Langen FIR,0.064835,0.0,0.0,0.0,0.0,0.0
01-01 03,Latin America,0.000352,0.010853,0.025237,0.036543,0.09462,0.111043
01-01 03,Lisboa FIR,0.0,0.002327,0.006483,0.006273,0.000329,0.0
01-01 03,Ljubljana FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 03,London FIR,0.159938,0.106328,0.0,0.0,0.0,0.0
01-01 03,Lvov FIR,0.019687,0.235024,0.204008,0.043115,0.088376,0.0
01-01 03,Madrid FIR,0.006857,0.077935,0.180455,0.010827,0.0,0.0
01-01 03,Malta FIR,0.0,0.003187,0.002122,0.0,0.0,0.0
01-01 03,Marseille FIR,0.171254,0.525965,0.366056,0.038177,0.0,0.0
01-01 03,Milano FIR,0.056968,0.165092,0.092825,0.044066,0.0,0.0
01-01 03,Munchen FIR,0.189426,0.00779,0.0,0.0,0.0,0.0
01-01 03,Nicosia FIR,0.0,0.118504,0.057496,0.0,0.0,0.0
01-01 03,North Atlantic,0.053271,0.041485,0.038847,0.031393,0.001035,0.0
01-01 03,North Pacific,0.063448,0.082227,0.054055,0.020765,0.003035,0.0
01-01 03,Odessa FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 03,Paris FIR,0.018617,0.069195,0.008577,0.0,0.0,0.0
01-01 03,Polaris FIR,0.079947,0.173247,0.109829,0.029536,0.005957,0.0
01-01 03,Praha FIR,0.232298,0.205295,0.031547,0.006383,0.0,0.0
01-01 03,Reims FIR,0.0,0.0,0.0,0.0,0.0,0.0
