Hour,Region,Very warming,Extremely warming,Cooling,Persistent contrails,Warming
01-01 02,Southeast Asia,0.009929,0.000885,0.062728,0.108306,0.045578
01-01 02,Sweden FIR,0.05931,0.010159,0.000378,0.262385,0.262007
01-01 02,Switzerland FIR,0.0,0.0,0.0,0.0,0.0
01-01 02,Tallinn FIR,0.011651,0.0,0.0,0.096002,0.096002
01-01 02,Tibilisi FIR,0.0,0.0,0.0,0.021691,0.021691
01-01 02,Tirana FIR,0.005185,0.0,0.001725,0.022545,0.02082
01-01 02,USA,0.01757,0.001515,0.0,0.056904,0.056904
01-01 02,Vilnius FIR,0.359394,0.004113,0.0,0.850615,0.850615
01-01 02,Warszawa FIR,0.161773,0.006833,0.0,0.59516,0.59516
01-01 02,Wien FIR,0.035185,0.001377,0.0,0.132332,0.132332
01-01 02,Yerevan FIR,0.004501,0.0,0.026997,0.06619,0.039193
01-01 02,Zagreb FIR,0.085898,0.004206,0.007728,0.267563,0.259835
01-01 03,Africa & Middle East,0.009678,0.00102,0.016803,0.065038,0.048235
01-01 03,Amsterdam FIR,0.041671,0.0,0.0,0.074038,0.074038
01-01 03,Ankara FIR,0.005078,0.0,0.028708,0.129477,0.100769
01-01 03,Arctic,0.064118,0.021304,1.5e-05,0.153033,0.153018
01-01 03,Athinai FIR,0.011776,0.0,0.012358,0.138985,0.126627
01-01 03,Barcelona FIR,0.158275,0.011928,0.019783,0.383526,0.363743
01-01 03,Beograd FIR,0.086775,0.0,0.114968,0.368831,0.253863
01-01 03,Bodo Oceanic FIR,0.119817,0.041305,0.0,0.22686,0.22686
01-01 03,Bordeaux FIR,0.180381,0.007223,0.013902,0.422128,0.408226
01-01 03,Bratislava  FIR,0.413277,0.040633,0.0,0.645417,0.645417
01-01 03,Bremen FIR,0.059523,0.001166,0.000151,0.10716,0.107009
01-01 03,Brest FIR,0.048719,0.001827,0.000372,0.172,0.171628
01-01 03,Brindisi FIR,0.042728,0.0,0.0,0.194996,0.194996
01-01 03,Brussels FIR,0.0,0.0,0.0,0.010567,0.010567
01-01 03,Bucarest FIR,0.011999,0.0,0.01159,0.140711,0.12912
01-01 03,Budapest FIR,0.209209,0.012244,0.008056,0.516721,0.508665
01-01 03,Canarias FIR,0.045899,0.007984,0.00157,0.081423,0.079853
01-01 03,China,0.005677,0.000201,0.058995,0.0806,0.021605
01-01 03,Chisinau FIR,0.00733,0.0,0.045681,0.198544,0.152863
