week,region,FL270-290,FL300-320,FL330-350,FL360-380,FL390-410,FL420-440
5,China,0.0233,0.0376,0.0306,0.0071,0.0009,0.001
5,Latin America,0.0012,0.0043,0.0102,0.0172,0.0365,0.0428
5,USA,0.0049,0.0194,0.0278,0.0104,0.0021,0.0002
5,North Atlantic,0.0182,0.0494,0.0884,0.0762,0.0562,0.0063
5,North Pacific,0.0312,0.0236,0.0173,0.0038,0.0004,0.0
5,Amsterdam FIR,0.0066,0.1031,0.1709,0.1929,0.1093,0.014
5,Athinai FIR,0.0104,0.0084,0.0015,0.0,0.0,0.0
5,Barcelona FIR,0.021,0.1039,0.1489,0.0818,0.0173,0.0034
5,Beograd FIR,0.0203,0.0546,0.037,0.0009,0.0,0.0
5,Bordeaux FIR,0.0074,0.0849,0.126,0.1343,0.0645,0.0219
5,Bratislava  FIR,0.0319,0.0482,0.0336,0.0074,0.0,0.0
5,Bremen FIR,0.0245,0.1381,0.1928,0.1554,0.1062,0.0055
5,Brest FIR,0.0152,0.0894,0.1465,0.1594,0.1169,0.0697
5,Brindisi FIR,0.0185,0.0259,0.0122,0.0004,0.0,0.0
5,Brussels FIR,0.0041,0.1291,0.2051,0.1976,0.1577,0.0276
5,Bucarest FIR,0.0382,0.0608,0.0345,0.001,0.0,0.0
5,Budapest FIR,0.0222,0.0576,0.066,0.0131,0.0,0.0
5,Canarias FIR,0.0001,0.0102,0.0242,0.0215,0.0051,0.0
5,Chisinau FIR,0.0806,0.0743,0.0169,0.0002,0.0,0.0
5,Copenhagen FIR,0.0281,0.1045,0.1678,0.145,0.0537,0.0005
5,Helsinki FIR,0.0387,0.1173,0.15,0.0747,0.025,0.0006
5,Langen FIR,0.014,0.1341,0.1725,0.1528,0.1195,0.003
5,Lisboa FIR,0.0202,0.0893,0.0915,0.0444,0.0148,0.0005
5,Ljubljana FIR,0.0343,0.0421,0.0244,0.0111,0.0004,0.0
5,London FIR,0.0095,0.0761,0.1758,0.1891,0.1184,0.0421
5,Madrid FIR,0.0093,0.0638,0.0862,0.0635,0.0388,0.0095
5,Malta FIR,0.012,0.0078,0.0002,0.0,0.0,0.0
5,Marseille FIR,0.0225,0.1185,0.1251,0.0775,0.0231,0.002
5,Milano FIR,0.0347,0.1081,0.0787,0.0341,0.0148,0.0001
5,Munchen FIR,0.0179,0.1076,0.134,0.1138,0.0654,0.0005
5,Paris FIR,0.0171,0.1583,0.2323,0.2131,0.141,0.0346
5,Polaris FIR,0.0366,0.0845,0.0974,0.0298,0.0023,0.0
5,Praha FIR,0.0293,0.1168,0.1159,0.0744,0.0267,0.0001
5,Reims FIR,0.0246,0.156,0.162,0.1859,0.1306,0.012
5,Reykjavik FIR,0.037,0.037,0.0205,0.0027,0.001,0.0
5,Riga FIR,0.0347,0.189,0.2156,0.1618,0.0563,0.0005
5,Roma FIR,0.0125,0.0256,0.0094,0.0008,0.0001,0.0
5,Santa Maria FIR,0.0021,0.0202,0.0472,0.0377,0.0267,0.0009
5,Sarajevo FIR,0.0244,0.057,0.0505,0.002,0.0,0.0
5,Scottish FIR,0.0214,0.0793,0.1192,0.0839,0.0625,0.0073
5,Shannon FIR,0.0098,0.0592,0.1036,0.1255,0.1483,0.0654
5,Skopje FIR,0.0105,0.0098,0.0032,0.0,0.0,0.0
5,Sofia FIR,0.0172,0.0256,0.0123,0.0,0.0,0.0
5,Sweden FIR,0.0321,0.102,0.1465,0.0919,0.0248,0.0001
5,Switzerland FIR,0.0127,0.1307,0.1319,0.1175,0.0769,0.0003
5,Tallinn FIR,0.0338,0.1619,0.188,0.1311,0.0277,0.0
5,Tirana FIR,0.0104,0.0105,0.0057,0.0,0.0,0.0
5,Vilnius FIR,0.0561,0.2226,0.2458,0.1755,0.0827,0.0
5,Warszawa FIR,0.0614,0.1803,0.1779,0.1109,0.0761,0.0021
5,Wien FIR,0.0308,0.0622,0.0423,0.0328,0.0117,0.0
5,Zagreb FIR,0.0293,0.0531,0.0376,0.0037,0.0,0.0
6,Global,0.0143,0.0185,0.0211,0.0198,0.0233,0.0266
6,Europe,0.0244,0.0999,0.1463,0.1051,0.0482,0.0059
6,European Airspace,0.0262,0.0604,0.087,0.0619,0.0253,0.0028
6,Africa Middle East,0.0003,0.0024,0.0077,0.0186,0.0212,0.0143
6,East Asia,0.0086,0.005,0.0012,0.0003,0.0016,0.0026
6,Southeast Asia,0.0,0.0,0.0,0.0189,0.0813,0.1275
6,India,0.0002,0.0005,0.0009,0.0019,0.0029,0.0028
6,China,0.0183,0.021,0.0183,0.0076,0.0014,0.0
6,Latin America,0.0001,0.0016,0.0055,0.0175,0.0357,0.0436
6,USA,0.0098,0.0127,0.0158,0.0148,0.0035,0.0
6,North Atlantic,0.0364,0.0749,0.0761,0.0349,0.0075,0.0003
6,North Pacific,0.0417,0.0393,0.0369,0.0167,0.0018,0.0
6,Amsterdam FIR,0.0529,0.2587,0.3643,0.2088,0.1447,0.036
6,Athinai FIR,0.0002,0.0319,0.0658,0.0597,0.0229,0.0068
6,Barcelona FIR,0.0031,0.0466,0.0805,0.0853,0.0451,0.0003
6,Beograd FIR,0.006,0.0177,0.0468,0.074,0.0644,0.0025
6,Bordeaux FIR,0.0209,0.0955,0.1673,0.1489,0.0562,0.0005
6,Bratislava  FIR,0.0188,0.0701,0.1377,0.1275,0.0804,0.0002
6,Bremen FIR,0.0303,0.2251,0.3684,0.2034,0.0888,0.0263
6,Brest FIR,0.0433,0.1079,0.178,0.1512,0.0581,0.0082
6,Brindisi FIR,0.0016,0.0178,0.0521,0.0634,0.0332,0.0064
6,Brussels FIR,0.0184,0.1619,0.2914,0.2223,0.1516,0.0445
6,Bucarest FIR,0.0075,0.0352,0.0763,0.0793,0.0562,0.0005
6,Budapest FIR,0.0294,0.0436,0.0956,0.1214,0.0792,0.0001
6,Canarias FIR,0.0,0.0051,0.0227,0.0247,0.0126,0.0018
6,Chisinau FIR,0.0102,0.081,0.1458,0.112,0.0516,0.0007
6,Copenhagen FIR,0.0209,0.164,0.2042,0.0781,0.0125,0.0015
6,Helsinki FIR,0.1153,0.1102,0.0925,0.0175,0.0,0.0
6,Langen FIR,0.0155,0.15,0.3048,0.207,0.114,0.021
6,Lisboa FIR,0.0111,0.0319,0.0561,0.0477,0.016,0.004
6,Ljubljana FIR,0.0518,0.0846,0.1036,0.1212,0.0697,0.0022
6,London FIR,0.0593,0.1906,0.2366,0.1698,0.1099,0.0177
6,Madrid FIR,0.0142,0.0642,0.0997,0.0754,0.0143,0.0
6,Malta FIR,0.0,0.012,0.0351,0.0289,0.0036,0.0002
6,Marseille FIR,0.0098,0.0445,0.093,0.0937,0.0571,0.0042
6,Milano FIR,0.0313,0.0825,0.1293,0.111,0.0769,0.0133
6,Munchen FIR,0.011,0.1188,0.2554,0.1933,0.0828,0.0027
6,Paris FIR,0.0276,0.1087,0.201,0.1722,0.0899,0.0221
6,Polaris FIR,0.0568,0.1034,0.0933,0.0342,0.0014,0.0
6,Praha FIR,0.0058,0.118,0.2289,0.1744,0.0818,0.0
6,Reims FIR,0.0088,0.0746,0.1677,0.1524,0.0684,0.0095
6,Reykjavik FIR,0.0869,0.0814,0.0507,0.0109,0.0,0.0
6,Riga FIR,0.0358,0.0866,0.0788,0.0223,0.0003,0.0
6,Roma FIR,0.0021,0.0122,0.0407,0.0511,0.0328,0.0047
6,Santa Maria FIR,0.0009,0.0175,0.0419,0.0494,0.0214,0.0012
6,Sarajevo FIR,0.0144,0.0279,0.0719,0.1009,0.0819,0.0079
6,Scottish FIR,0.0689,0.2353,0.2424,0.1102,0.0383,0.0045
6,Shannon FIR,0.0315,0.1453,0.1631,0.1294,0.0631,0.0027
6,Skopje FIR,0.0044,0.0203,0.0544,0.0677,0.038,0.0095
6,Sofia FIR,0.008,0.0695,0.1193,0.1194,0.0665,0.0063
6,Sweden FIR,0.0646,0.0819,0.0569,0.0176,0.0012,0.0
6,Switzerland FIR,0.0068,0.0646,0.1395,0.1658,0.1038,0.0079
6,Tallinn FIR,0.028,0.0547,0.056,0.0159,0.0,0.0
6,Tirana FIR,0.0023,0.0165,0.0432,0.0617,0.0277,0.0037
6,Vilnius FIR,0.0218,0.1011,0.1074,0.0394,0.0006,0.0
6,Warszawa FIR,0.011,0.1423,0.2723,0.156,0.0509,0.0064
6,Wien FIR,0.0215,0.0769,0.1664,0.1525,0.0579,0.0012
6,Zagreb FIR,0.0276,0.0452,0.0768,0.0963,0.0768,0.0118
7,Global,0.0137,0.0174,0.0193,0.0164,0.0213,0.0239
7,Europe,0.0267,0.0798,0.1015,0.0489,0.0035,0.0
7,European Airspace,0.0314,0.0698,0.0802,0.0363,0.0067,0.0001
7,Africa Middle East,0.0011,0.0024,0.0057,0.0168,0.029,0.0217
7,East Asia,0.007,0.0202,0.0191,0.005,0.0037,0.0027
7,Southeast Asia,0.0,0.0,0.0,0.0072,0.0366,0.0528
7,India,0.0,0.0019,0.0045,0.0072,0.0185,0.0315
7,China,0.0102,0.0265,0.0279,0.01,0.0081,0.0073
7,Latin America,0.0,0.0008,0.0047,0.0138,0.0269,0.0348
7,USA,0.0077,0.0107,0.0111,0.0093,0.0026,0.0
7,North Atlantic,0.0643,0.0667,0.0545,0.0154,0.0005,0.0
7,North Pacific,0.0304,0.0354,0.0275,0.0046,0.0001,0.0
7,Amsterdam FIR,0.0409,0.1523,0.1373,0.0487,0.0107,0.0
