Date,Airport,Big Hits
2019-12-12 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,19
2019-12-12 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),26
2019-12-12 00:00:00,Helsinki Vantaa Airport,22
2019-12-12 00:00:00,Malpensa International Airport,7
2019-12-12 00:00:00,Manchester Airport,9
2019-12-12 00:00:00,Copenhagen Kastrup Airport,12
2019-12-12 00:00:00,Vienna International Airport,7
2019-12-12 00:00:00,Düsseldorf Airport,4
2019-12-12 00:00:00,Dublin Airport,2
2019-12-11 00:00:00,London Heathrow Airport,153
2019-12-11 00:00:00,Frankfurt am Main Airport,130
2019-12-11 00:00:00,Charles de Gaulle International Airport,102
2019-12-11 00:00:00,Amsterdam Airport Schiphol,75
2019-12-11 00:00:00,Adolfo Suárez Madrid–Barajas Airport,47
2019-12-11 00:00:00,Zürich Airport,38
2019-12-11 00:00:00,Munich Airport,51
2019-12-11 00:00:00,Helsinki Vantaa Airport,77
2019-12-11 00:00:00,London Gatwick Airport,35
2019-12-11 00:00:00,Brussels Airport,49
2019-12-11 00:00:00,Malpensa International Airport,26
2019-12-11 00:00:00,Vienna International Airport,61
2019-12-11 00:00:00,Copenhagen Kastrup Airport,52
2019-12-11 00:00:00,Paris-Orly Airport,14
2019-12-11 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,34
2019-12-11 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,29
2019-12-11 00:00:00,Manchester Airport,15
2019-12-11 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),12
2019-12-11 00:00:00,Düsseldorf Airport,36
2019-12-11 00:00:00,Dublin Airport,18
2019-12-10 00:00:00,London Heathrow Airport,153
2019-12-10 00:00:00,Charles de Gaulle International Airport,75
2019-12-10 00:00:00,Frankfurt am Main Airport,64
2019-12-10 00:00:00,Amsterdam Airport Schiphol,50
2019-12-10 00:00:00,Adolfo Suárez Madrid–Barajas Airport,58
2019-12-10 00:00:00,Munich Airport,27
2019-12-10 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,19
2019-12-10 00:00:00,London Gatwick Airport,41
2019-12-10 00:00:00,Brussels Airport,29
2019-12-10 00:00:00,Malpensa International Airport,14
2019-12-10 00:00:00,Zürich Airport,16
2019-12-10 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,34
2019-12-10 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),40
2019-12-10 00:00:00,Helsinki Vantaa Airport,17
2019-12-10 00:00:00,Manchester Airport,25
2019-12-10 00:00:00,Paris-Orly Airport,13
2019-12-10 00:00:00,Vienna International Airport,10
2019-12-10 00:00:00,Düsseldorf Airport,15
2019-12-10 00:00:00,Dublin Airport,35
2019-12-10 00:00:00,Copenhagen Kastrup Airport,14
2019-12-09 00:00:00,London Heathrow Airport,100
2019-12-09 00:00:00,Charles de Gaulle International Airport,56
2019-12-09 00:00:00,Frankfurt am Main Airport,42
2019-12-09 00:00:00,Amsterdam Airport Schiphol,30
2019-12-09 00:00:00,Adolfo Suárez Madrid–Barajas Airport,23
2019-12-09 00:00:00,Munich Airport,13
2019-12-09 00:00:00,Zürich Airport,12
2019-12-09 00:00:00,London Gatwick Airport,13
2019-12-09 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,13
2019-12-09 00:00:00,Malpensa International Airport,12
2019-12-09 00:00:00,Helsinki Vantaa Airport,17
2019-12-09 00:00:00,Brussels Airport,9
2019-12-09 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),12
2019-12-09 00:00:00,Paris-Orly Airport,8
2019-12-09 00:00:00,Copenhagen Kastrup Airport,6
2019-12-09 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,5
2019-12-09 00:00:00,Manchester Airport,4
2019-12-09 00:00:00,Düsseldorf Airport,3
2019-12-09 00:00:00,Vienna International Airport,3
2019-12-09 00:00:00,Dublin Airport,3
2019-12-08 00:00:00,London Heathrow Airport,148
2019-12-08 00:00:00,Frankfurt am Main Airport,120
2019-12-08 00:00:00,Charles de Gaulle International Airport,98
2019-12-08 00:00:00,Amsterdam Airport Schiphol,80
2019-12-08 00:00:00,Adolfo Suárez Madrid–Barajas Airport,78
2019-12-08 00:00:00,Munich Airport,61
2019-12-08 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,36
2019-12-08 00:00:00,Helsinki Vantaa Airport,61
2019-12-08 00:00:00,Copenhagen Kastrup Airport,51
2019-12-08 00:00:00,Malpensa International Airport,33
2019-12-08 00:00:00,Brussels Airport,49
2019-12-08 00:00:00,London Gatwick Airport,50
2019-12-08 00:00:00,Paris-Orly Airport,28
2019-12-08 00:00:00,Zürich Airport,31
2019-12-08 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,53
2019-12-08 00:00:00,Manchester Airport,24
2019-12-08 00:00:00,Düsseldorf Airport,35
2019-12-08 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),48
2019-12-08 00:00:00,Vienna International Airport,39
2019-12-08 00:00:00,Dublin Airport,17
2019-12-07 00:00:00,London Heathrow Airport,143
2019-12-07 00:00:00,Frankfurt am Main Airport,91
2019-12-07 00:00:00,Charles de Gaulle International Airport,80
2019-12-07 00:00:00,Amsterdam Airport Schiphol,53
2019-12-07 00:00:00,Munich Airport,42
2019-12-07 00:00:00,Adolfo Suárez Madrid–Barajas Airport,25
2019-12-07 00:00:00,Zürich Airport,19
2019-12-07 00:00:00,Malpensa International Airport,22
2019-12-07 00:00:00,London Gatwick Airport,28
2019-12-07 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,18
2019-12-07 00:00:00,Brussels Airport,16
2019-12-07 00:00:00,Helsinki Vantaa Airport,38
2019-12-07 00:00:00,Copenhagen Kastrup Airport,22
2019-12-07 00:00:00,Manchester Airport,24
