name,entries,exits,mean_count,timestamp
BUDAPEST FIR,30,21,10.076923076923077,adsb_2024_03_01_01_00_00_3600
CANARIAS FIR,21,4,7.846153846153846,adsb_2024_03_01_01_00_00_3600
CHISINAU FIR,2,0,1.3846153846153846,adsb_2024_03_01_01_00_00_3600
DNIPROPETROVSK FIR,0,0,,adsb_2024_03_01_01_00_00_3600
FINLAND FIR,9,3,4.384615384615385,adsb_2024_03_01_01_00_00_3600
FIR PRAHA,26,5,16.46153846153846,adsb_2024_03_01_01_00_00_3600
FIR SOFIA,69,30,33.46153846153846,adsb_2024_03_01_01_00_00_3600
ISTANBUL FIR,76,26,25.0,adsb_2024_03_01_01_00_00_3600
KOEBENHAVN FIR,18,3,12.461538461538462,adsb_2024_03_01_01_00_00_3600
KYIV FIR,0,0,,adsb_2024_03_01_01_00_00_3600
L'VIV FIR,0,0,,adsb_2024_03_01_01_00_00_3600
LANGEN FIR,58,21,20.076923076923077,adsb_2024_03_01_01_00_00_3600
LISBOA FIR,26,10,15.76923076923077,adsb_2024_03_01_01_00_00_3600
LJUBLJANA FIR,4,4,1.25,adsb_2024_03_01_01_00_00_3600
LONDON FIR,75,8,40.07692307692308,adsb_2024_03_01_01_00_00_3600
MADRID FIR,34,11,17.307692307692307,adsb_2024_03_01_01_00_00_3600
MALTA FIR,11,6,5.076923076923077,adsb_2024_03_01_01_00_00_3600
MARSEILLE FIR,14,8,4.615384615384615,adsb_2024_03_01_01_00_00_3600
MILANO FIR,19,7,7.230769230769231,adsb_2024_03_01_01_00_00_3600
MUNICH FIR,44,21,13.153846153846153,adsb_2024_03_01_01_00_00_3600
NICOSIA FIR,34,17,9.615384615384615,adsb_2024_03_01_01_00_00_3600
NORWAY FIR,6,1,1.4615384615384615,adsb_2024_03_01_01_00_00_3600
ODESA FIR,0,0,,adsb_2024_03_01_01_00_00_3600
PARIS FIR,23,8,9.692307692307692,adsb_2024_03_01_01_00_00_3600
REIMS FIR,7,3,3.769230769230769,adsb_2024_03_01_01_00_00_3600
RIGA FIR,6,4,1.5,adsb_2024_03_01_01_00_00_3600
ROMA FIR,22,10,8.846153846153847,adsb_2024_03_01_01_00_00_3600
SANTA MARIA OCEANIC FIR,10,2,2.3076923076923075,adsb_2024_03_01_01_00_00_3600
SARAJEVO FIR,5,5,1.7777777777777777,adsb_2024_03_01_01_00_00_3600
SCOTTISH FIR,18,6,9.615384615384615,adsb_2024_03_01_01_00_00_3600
