,origin_airport,total_fuel_burn,total_contrail_energy_forcing,total_co2,total_co2_forcing_20,total_co2_forcing_100,gwp20,gwp100,contrail_co2_eq_20,contrail_co2_eq_100,contrail_impact_category,id,name,city,country,iata,lat,lon,altitude,tz_offset,dst,tz,type,source
425,LEAS,11338682.87444425,2.968177467561816e+16,35920947.34623939,1.3810443111442914e+16,5.085016710489442e+16,0.9026752627097382,0.24515839521321295,0.016212475291274654,0.0044031609029711845,Low contrail climate impact,1214.0,Asturias Airport,Aviles,Spain,OVD,43.5635986328125,-6.0346198081970215,416.0,1,E,Europe/Madrid,airport,OurAirports
426,LEBA,27166.66676673597,13706074921601.695,86064.00031701956,33088826106526.332,121833334618172.27,0.17397267127398358,0.04724939594827509,7.486392017838431e-06,2.0332360139356647e-06,Low contrail climate impact,1215.0,Córdoba Airport,Cordoba,Spain,ODB,37.84199905395508,-4.848879814147949,297.0,1,E,Europe/Madrid,airport,OurAirports
427,LEBB,65634099.32490685,3.367093988040024e+17,207928826.6613049,7.994191256026706e+16,2.9434679101688294e+17,1.7690088086279905,0.48044671052510185,0.18391396296576545,0.049949360396384014,Average contrail climate impact,1216.0,Bilbao Airport,Bilbao,Spain,BIO,43.30110168457031,-2.9106099605560303,138.0,1,E,Europe/Madrid,airport,OurAirports
428,LEBG,126378.88348099763,408049769427478.6,400368.3028678005,153928670563293.8,566766653120077.8,1.1133787002277205,0.3023835333573012,0.00022288077032966505,6.053239103271582e-05,Low contrail climate impact,6757.0,Burgos Airport,Burgos,Spain,RGS,42.357601,-3.62076,2945.0,1,E,Europe/Madrid,airport,OurAirports
429,LEBL,1221885105.2646947,5.851183195454731e+18,3870932013.478553,1.488248231460005e+18,5.479742442195835e+18,1.6512681756591958,0.4484694249801679,3.1959734219987537,0.8679973271110251,Average contrail climate impact,1218.0,Barcelona International Airport,Barcelona,Spain,BCN,41.2971,2.07846,12.0,1,E,Europe/Madrid,airport,OurAirports
430,LEBZ,565045.5775894884,855355185523999.9,1790064.3898034992,688221894119647.6,2534038773327573.0,0.5219961483201875,0.14176940846423272,0.0004672033583612766,0.0001268881848276649,Low contrail climate impact,1219.0,Badajoz Airport,Badajoz,Spain,BJZ,38.891300201416016,-6.8213300704956055,609.0,1,E,Europe/Madrid,airport,OurAirports
431,LECH,2102256.5803087614,1.0771560653847322e+16,6659948.846418156,2560535048867718.5,9427911477002480.0,1.766839894113707,0.47985765306042716,0.00588353165730408,0.0015979137114723579,Average contrail climate impact,,,,,,,,,,,,,
432,LECO,10811548.65799077,7.036952090390543e+16,34250986.14851476,1.3168397012346714e+16,4.84861479952515e+16,2.244403684968586,0.6095596371676045,0.03843651976276726,0.010439009344660653,High contrail climate impact,1220.0,A Coruña Airport,La Coruna,Spain,LCG,43.302101,-8.37726,326.0,1,E,Europe/Madrid,airport,OurAirports
433,LECU,744.2713871241442,0.0,2357.851754409289,906517782106.7244,3337806059639.8223,0.0,0.0,0.0,0.0,Low contrail climate impact,11878.0,Cuatro Vientos Airport,Madrid,Spain,ECV,40.370701,-3.78514,2269.0,\N,\N,\N,airport,OurAirports
434,LEDA,353277.31962690176,2760895775673496.0,1119182.5485780248,430289512397135.06,1584329585395309.0,2.6948744795635156,0.7319034097905458,0.0015080282440678868,0.00040956676174116476,High contrail climate impact,7459.0,Lleida-Alguaire Airport,Lleida,Spain,ILD,41.728185,0.535023,1170.0,1,E,Europe/Madrid,airport,OurAirports
435,LEGA,36392.148566330165,-330701340088.57544,115290.32665813397,44325403844854.9,163206507880637.28,-0.0031335205274914592,-0.0008510356887164304,-1.8063230260222932e-07,-4.905809127492364e-08,Low contrail climate impact,1221.0,Armilla Air Base,Granada,Spain,\N,37.1332016,-3.63568997,2297.0,1,E,Europe/Madrid,airport,OurAirports
436,LEGE,25024954.799570464,1.211074196125195e+17,79279056.80503923,3.0480234649197524e+16,1.1222847904307038e+17,1.6687901790348374,0.4532282418060524,0.06615005569969723,0.017965753763895042,Average contrail climate impact,1222.0,Girona Airport,Gerona,Spain,GRO,41.901000977,2.7605500221,468.0,1,E,Europe/Madrid,airport,OurAirports
437,LEGR,12492200.295272663,4.5441019200242104e+16,39575290.5354238,1.5215419941186904e+16,5.602330354914007e+16,1.2543346248656289,0.3406658810714605,0.024820328603849542,0.006740975609454591,Low contrail climate impact,1223.0,Federico Garcia Lorca Airport,Granada,Spain,GRX,37.18870162963867,-3.777359962463379,1860.0,1,E,Europe/Madrid,airport,OurAirports
438,LEGT,182680.4725225468,166637715707478.53,578731.7369514282,222503645377576.5,819260284235428.1,0.31454693912261733,0.08542808914807447,9.101914821559375e-05,2.4719973208553294e-05,Low contrail climate impact,1224.0,Getafe Air Base,Madrid,Spain,\N,40.29410171508789,-3.723829984664917,2031.0,1,E,Europe/Madrid,airport,OurAirports
439,LEIB,89264591.09823763,4.5349029835284595e+17,282790224.5992168,1.0872370017570032e+17,4.0032157386868736e+17,1.7518344666378851,0.4757823153709711,0.24770083114058838,0.06727329391204616,Average contrail climate impact,1225.0,Ibiza Airport,Ibiza,Spain,IBZ,38.8728981018,1.3731199502899998,24.0,1,E,Europe/Madrid,airport,OurAirports
440,LEIZ,701.5474281575594,0.0,2222.5022524031483,854480273752.6016,3146203518419.621,0.0,0.0,0.0,0.0,Low contrail climate impact,,,,,,,,,,,,,
441,LEJR,15760782.552748991,6.1847834772261464e+16,49930159.127108805,1.919653219397676e+16,7.06817921786592e+16,1.3531657875426195,0.36750752638941603,0.033781891548681255,0.00917485463651684,Average contrail climate impact,1226.0,Jerez Airport,Jerez,Spain,XRY,36.74459838867188,-6.060110092163086,93.0,1,E,Europe/Madrid,airport,OurAirports
442,LELC,352560.8562216286,3042300624112540.5,1116912.7925101195,429416864558799.56,1581116488752065.5,2.9755847233435886,0.8081417600899065,0.0016617343213500694,0.0004513119350030302,High contrail climate impact,1227.0,San Javier Airport,Murcia,Spain,MJV,37.775001525878906,-0.8123890161514282,11.0,1,E,Europe/Madrid,airport,OurAirports
443,LELN,434014.0475781746,372405057985834.3,1374956.5027276573,528626329884831.8,1946406570287247.0,0.29588031377121604,0.08035840339922799,0.00020341128072441655,5.52446546512904e-05,Low contrail climate impact,6756.0,Leon Airport,Leon,Spain,LEN,42.5890007019043,-5.65556001663208,3006.0,1,E,Europe/Madrid,airport,OurAirports
444,LEMD,2730255713.826999,1.008305597004609e+19,8649450101.403934,3.325433970861263e+18,1.2244275708610507e+19,1.2734829632845044,0.3458663957102234,5.50746367295867,1.4957770657240024,Low contrail climate impact,1229.0,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,40.471926,-3.56264,1998.0,1,E,Europe/Madrid,airport,OurAirports
445,LEMG,374751136.0177856,2.638473308161392e+18,1187211598.9043448,4.564444832112745e+17,1.680632406803019e+18,2.4278062944948577,0.6593701186184898,1.4411598963586363,0.3914059263974024,High contrail climate impact,1230.0,Málaga Airport,Malaga,Spain,AGP,36.67490005493164,-4.499110221862793,53.0,1,E,Europe/Madrid,airport,OurAirports
