,time,file,region_id,area_km2,pt in mask,vol_km3,width_km,length_km,thickness_m,std_thickness,mean_FL,mean_lat,mean_lon,mean_forcing,max_forcing,std_forcing
847439,2024-10-06 10:00:00,20241006T10.nc,175,443.24237,1,135.1002745605469,15.944699,27.79873,304.8,0.0,300.0,55.0,-25.749998,513353000.0,513353000.0,0.0
75692,2024-02-03 11:00:00,20240203T11.nc,110,2745.4712,7,836.819619140625,98.76247,27.79873,304.8,0.0,300.0,59.5,-16.75,744154240.0,1017466700.0,168651790.0
1298617,2024-12-18 13:00:00,20241218T13.nc,291,400.8921,1,122.19190898437502,14.421237,27.79873,304.8,0.0,300.0,58.75,22.249998,507529800.0,507529800.0,0.0
909832,2024-10-16 10:00:00,20241016T10.nc,22,13199.242,22,16092.516075000018,151.08318,166.79239,1219.2000000000014,340.77675977096834,365.0,39.066635,9.727972,651893200.0,1017512800.0,142821870.0
769510,2024-09-25 00:00:00,20240925T00.nc,259,368.73373,1,112.39004216308594,13.264409,27.79873,304.8,0.0,310.0,61.5,31.499998,575914400.0,575914400.0,0.0
1277489,2024-12-15 11:00:00,20241215T11.nc,13,660.6498,1,201.36605302734372,23.765465,27.79873,304.8,0.0,360.0,31.249998,-3.75,529894400.0,529894400.0,0.0
664998,2024-09-10 17:00:00,20240910T17.nc,11,665.8407,1,202.9482448242188,23.9522,27.79873,304.8,0.0,370.0,30.499998,-43.749996,508669380.0,508669380.0,0.0
1155027,2024-11-25 16:00:00,20241125T16.nc,172,467.75272,1,142.5710278564453,16.826406,27.79873,304.8,0.0,290.0,52.75,-85.99999,629984600.0,629984600.0,0.0
1071655,2024-11-13 09:00:00,20241113T09.nc,104,470.43225,1,143.38775009765624,16.922796,27.79873,304.8,0.0,330.0,52.5,-48.499996,622609800.0,622609800.0,0.0
581447,2024-08-13 15:00:00,20240813T15.nc,67,7089.77,17,2160.961901953125,135.0243,83.396194,304.8,0.0,340.0,57.33745,6.6460085,563594560.0,658644800.0,40619880.0
