date,fir_code,fir_name,big_hit_count
2019-01-05,LRBB,Bucarest FIR,0
2019-01-05,LSAS,Switzerland FIR,18
2019-01-05,LUUU,Chisinau FIR,0
2019-01-05,LWSS,Skopje FIR,0
2019-01-05,LYBA,Beograd FIR,0
2019-01-05,LZBB,Bratislava  FIR,0
2019-01-05,UKBV,Kiev FIR,0
2019-01-05,UKDV,Dnipro FIR,0
2019-01-05,UKLV,Lvov FIR,0
2019-01-05,UKOV,Odessa FIR,0
2019-01-05,ULLL,Sankt-Peterburg FIR,0
2019-01-05,UMMV,Minsk FIR,0
2019-01-05,UNNT,Novosibirsk FIR,0
2019-01-05,URRV,Rostov-Na-Donu FIR,0
2019-01-05,USSV,Yekaterinburg FIR,1
2019-01-05,UUWV,Moscow FIR,2
2019-01-05,UWWW,Samara FIR,0
2019-01-06,BIRD,Reykjavik FIR,24
2019-01-06,EBBU,Brussels FIR,19
2019-01-06,EDGG,Langen FIR,89
2019-01-06,EDMM,Munchen FIR,31
2019-01-06,EDWW,Bremen FIR,5
2019-01-06,EETT,Tallinn FIR,0
2019-01-06,EFIN,Helsinki FIR,29
2019-01-06,EGPX,Scottish FIR,15
2019-01-06,EGTT,London FIR,200
2019-01-06,EHAA,Amsterdam FIR,47
2019-01-06,EISN,Shannon FIR,33
2019-01-06,EKDK,Copenhagen FIR,9
2019-01-06,ENOR,Polaris FIR,5
2019-01-06,EPWW,Warszawa FIR,11
2019-01-06,ESAA,Sweden FIR,4
2019-01-06,EVRR,Riga FIR,0
2019-01-06,EYVL,Vilnius FIR,3
2019-01-06,GCCC,Canarias FIR,5
2019-01-06,GMMM,Casablanca FIR,0
2019-01-06,LAAA,Tirana FIR,0
2019-01-06,LBSR,Sofia FIR,0
2019-01-06,LDZO,Zagreb FIR,0
2019-01-06,LECB,Barcelona FIR,6
2019-01-06,LECM,Madrid FIR,36
2019-01-06,LFBB,Bordeaux FIR,0
2019-01-06,LFEE,Reims FIR,0
2019-01-06,LFFF,Paris FIR,88
2019-01-06,LFMM,Marseille FIR,1
2019-01-06,LFRR,Brest FIR,0
2019-01-06,LGGG,Athinai FIR,1
2019-01-06,LHCC,Budapest FIR,4
2019-01-06,LIBB,Brindisi FIR,0
2019-01-06,LIMM,Milano FIR,17
2019-01-06,LIRR,Roma FIR,18
2019-01-06,LJLA,Ljubljana FIR,0
2019-01-06,LKAA,Praha FIR,2
2019-01-06,LMMM,Malta FIR,1
2019-01-06,LOVV,Wien FIR,8
2019-01-06,LPPC,Lisboa FIR,15
2019-01-06,LPPO,Santa Maria FIR,1
2019-01-06,LQSB,Sarajevo FIR,0
2019-01-06,LRBB,Bucarest FIR,1
2019-01-06,LSAS,Switzerland FIR,25
2019-01-06,LUUU,Chisinau FIR,1
2019-01-06,LWSS,Skopje FIR,0
2019-01-06,LYBA,Beograd FIR,0
2019-01-06,LZBB,Bratislava  FIR,0
2019-01-06,UKBV,Kiev FIR,0
2019-01-06,UKDV,Dnipro FIR,0
2019-01-06,UKLV,Lvov FIR,0
2019-01-06,UKOV,Odessa FIR,0
2019-01-06,ULLL,Sankt-Peterburg FIR,0
2019-01-06,UMKK,Kaliningrad FIR,0
2019-01-06,UMMV,Minsk FIR,0
2019-01-06,UNNT,Novosibirsk FIR,2
2019-01-06,URRV,Rostov-Na-Donu FIR,0
2019-01-06,USSV,Yekaterinburg FIR,0
2019-01-06,UUWV,Moscow FIR,2
2019-01-06,UWWW,Samara FIR,0
2019-01-07,BIRD,Reykjavik FIR,13
2019-01-07,EBBU,Brussels FIR,30
2019-01-07,EDGG,Langen FIR,140
2019-01-07,EDMM,Munchen FIR,54
2019-01-07,EDWW,Bremen FIR,45
2019-01-07,EETT,Tallinn FIR,13
2019-01-07,EFIN,Helsinki FIR,67
2019-01-07,EGPX,Scottish FIR,32
2019-01-07,EGTT,London FIR,347
2019-01-07,EHAA,Amsterdam FIR,96
2019-01-07,EISN,Shannon FIR,49
2019-01-07,EKDK,Copenhagen FIR,56
2019-01-07,ENOB,Bodo Oceanic FIR,0
2019-01-07,ENOR,Polaris FIR,63
2019-01-07,EPWW,Warszawa FIR,47
2019-01-07,ESAA,Sweden FIR,92
2019-01-07,EVRR,Riga FIR,6
2019-01-07,EYVL,Vilnius FIR,12
2019-01-07,GCCC,Canarias FIR,64
2019-01-07,GMMM,Casablanca FIR,0
2019-01-07,LAAA,Tirana FIR,0
2019-01-07,LBSR,Sofia FIR,5
2019-01-07,LDZO,Zagreb FIR,0
2019-01-07,LECB,Barcelona FIR,27
2019-01-07,LECM,Madrid FIR,52
2019-01-07,LFBB,Bordeaux FIR,4
2019-01-07,LFEE,Reims FIR,4
2019-01-07,LFFF,Paris FIR,123
2019-01-07,LFMM,Marseille FIR,4
2019-01-07,LFRR,Brest FIR,0
2019-01-07,LGGG,Athinai FIR,7
2019-01-07,LHCC,Budapest FIR,17
2019-01-07,LIBB,Brindisi FIR,0
2019-01-07,LIMM,Milano FIR,23
2019-01-07,LIRR,Roma FIR,15
2019-01-07,LJLA,Ljubljana FIR,0
2019-01-07,LKAA,Praha FIR,19
